Player,Nation_std,Pos_std,Squad_std,Born_std,Playing Time_MP_std,Playing Time_Starts,Playing Time_Min_std,Playing Time_90s_std,Performance_Gls,Performance_G-PK,Performance_PK,Performance_PKatt,Per 90 Minutes_Gls,Per 90 Minutes_G-PK,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_match,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Keiquon Aaron,tt TRI,FW,Verl,2004,4,0,51,0.6,0,0,0,0,0.00,0.00,13,3.8,0.6,0,,0,4,13,0,0.25,1,2,-1,-1.76,-1.00
Ali Aazem,de GER,MF,Dresden,2005,1,0,1,0.0,0,0,0,0,0.00,0.00,1,0.1,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,-1.13
Said Abbey,de GER,FW,Werder Bremen,2004,13,2,367,4.1,1,1,0,0,0.25,0.25,28,25.5,4.1,2,64,0,11,22,2,1.77,10,7,+3,+0.74,-0.61
Karim El Abed,tn TUN,MF,Karlsruher,2004,10,6,618,6.9,2,2,0,0,0.29,0.29,62,42.9,6.9,6,90,6,4,20,1,1.80,14,10,+4,+0.58,-1.61
Cedric Abresch,de GER,MF,Bonner,2005,14,11,1018,11.3,0,0,0,0,0.00,0.00,73,75.4,11.3,11,87,9,3,20,0,0.86,11,22,-11,-0.97,+0.93
Ole Achtenberg,de GER,DF,Magdeburg,2004,16,16,1440,16.0,2,2,0,0,0.12,0.12,90,100.0,16.0,16,90,16,0,,0,1.13,27,32,-5,-0.31,
Christopher Ackermann,de GER,DF,Union Berlin,2005,10,10,839,9.3,0,0,0,0,0.00,0.00,84,58.3,9.3,10,84,7,0,,0,1.40,23,14,+9,+0.97,-0.53
Maximilian Addai,de GER,DF,St Pauli,2005,14,14,1252,13.9,2,2,0,0,0.14,0.14,89,86.9,13.9,14,89,13,0,,2,1.57,32,22,+10,+0.72,+1.68
Noah Adedeji,be BEL,MF,Gladbach,2005,14,13,1159,12.9,2,2,0,0,0.16,0.16,83,85.9,12.9,13,86,9,1,45,1,1.57,29,27,+2,+0.16,-0.32
Milot Ademi,de GER,FW,Rot-Weiss Essen,2005,13,9,665,7.4,0,0,0,0,0.00,0.00,51,49.3,7.4,9,66,2,4,18,2,0.69,10,14,-4,-0.54,+1.43
