  Rk, Player,Nation,Pos,Squad,Age,Born,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches
266,Karl Ferigo,de GER,MF,RB Leipzig,15,2001,7,4,320,3.6,0,,,0,0,0,1,0,0,,,0,,Matches
267,Ramzi Ferjani,tn TUN,"DF,MF",Dortmund,16,2001,22,22,1881,20.9,0,,,0,0,0,6,0,0,,,0,,Matches
268,Abdul Fesenmeyer,de GER,"FW,MF",Leverkusen,15,2001,23,18,1473,16.4,8,,,8,0,0,3,1,0.49,,,0.49,,Matches
269,Maximilian Fesser,de GER,MF,Kaiserslautern,15,2001,25,24,2069,23,3,,,3,0,0,1,1,0.13,,,0.13,,Matches
270,Nick Fiege,de GER,"MF,DF",Mainz 05,16,2001,14,11,1018,11.3,1,,,1,0,0,1,0,0.09,,,0.09,,Matches
271,Rafael FilipoviÄ,de GER,"MF,FW",Stuttgarter Kickers,15,2001,14,6,691,7.7,3,,,3,0,0,1,0,0.39,,,0.39,,Matches
272,Patrick Finger,de GER,MF,Eintracht Frankfurt,16,2001,18,18,1581,17.6,7,,,5,2,2,2,0,0.4,,,0.28,,Matches
273,Pascal Fischer,de GER,DF,Elversberg,14,2002,5,4,410,4.6,0,,,0,0,0,1,0,0,,,0,,Matches
274,Leon Flach,us USA,MF,St Pauli,16,2001,23,21,1955,21.7,4,,,4,0,0,4,0,0.18,,,0.18,,Matches
275,Tom Fladung,de GER,MF,Kaiserslautern,15,2001,19,18,1358,15.1,2,,,2,0,0,7,2,0.13,,,0.13,,Matches
276,Robin Flake,de GER,DF,PreuÃen MÃ¼nster,16,2001,19,16,1298,14.4,0,,,0,0,0,8,2,0,,,0,,Matches
277,Felix Flasse,de GER,GK,PreuÃen MÃ¼nster,14,2002,4,4,360,4,0,,,0,0,0,0,0,0,,,0,,Matches
278,Robin Flechsig,de GER,"FW,MF",Bochum,16,2001,17,7,760,8.4,1,,,1,0,0,0,0,0.12,,,0.12,,Matches
279,Max Fleer,de GER,"DF,FW",Dortmund,15,2001,14,10,824,9.2,0,,,0,0,0,0,0,0,,,0,,Matches
280,Miguel FÃ¶rster,de GER,GK,Werder Bremen,16,2001,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
281,Joel Frank,de GER,DF,Stuttgarter Kickers,16,2001,10,5,481,5.3,0,,,0,0,0,1,0,0,,,0,,Matches
282,Julian Franke,de GER,MF,Bochum,16,2001,21,9,1081,12,1,,,1,0,0,1,0,0.08,,,0.08,,Matches
283,Maximilian Franke,de GER,FW,Hannover 96,15,2002,21,15,1236,13.7,4,,,4,0,0,1,0,0.29,,,0.29,,Matches
284,Alexander Frees,de GER,DF,Hannover 96,15,2002,3,1,97,1.1,0,,,0,0,0,0,0,0,,,0,,Matches
285,Marcelo Freitas,de GER,MF,Stuttgarter Kickers,15,2002,16,16,1208,13.4,2,,,1,1,1,3,0,0.15,,,0.07,,Matches
286,Phil Freiwald,de GER,MF,Hombrucher U17,15,2001,9,2,283,3.1,1,,,1,0,0,0,0,0.32,,,0.32,,Matches
287,Joel Frenzel,de GER,GK,Bochum,16,2001,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
288,Luca Frenzel,de GER,"MF,DF",Hombrucher U17,16,2001,10,5,479,5.3,1,,,1,0,0,0,0,0.19,,,0.19,,Matches
289,Nils Friebe,de GER,"FW,MF",Gladbach,16,2001,26,24,1844,20.5,10,,,10,0,0,2,0,0.49,,,0.49,,Matches
290,Vincent Friedsam,de GER,GK,KÃ¶ln,15,2002,3,3,270,3,0,,,0,0,0,0,0,0,,,0,,Matches
291,Nico Fritsch,de GER,DF,Hoffenheim,16,2001,9,5,469,5.2,0,,,0,0,0,0,0,0,,,0,,Matches
292,Joshua FrÃ¶ls,de GER,MF,Eintracht Frankfurt,15,2002,1,0,50,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
293,Fabian Fuchs,de GER,FW,Elversberg,16,2001,21,9,814,9,2,,,2,0,0,0,0,0.22,,,0.22,,Matches
294,Jannis Fuchs,de GER,MF,Energie Cottbus,14,2003,1,0,11,0.1,0,,,0,0,0,0,0,0,,,0,,Matches
295,Marius Fuchs,de GER,"FW,MF",Mainz 05,16,2001,19,8,864,9.6,2,,,2,0,0,0,0,0.21,,,0.21,,Matches
296,Nico Fundel,de GER,MF,Augsburg,16,2001,25,23,1713,19,0,,,0,0,0,6,0,0,,,0,,Matches
297,Seymour FÃ¼nger,de GER,DF,Leverkusen,15,2002,7,2,264,2.9,1,,,1,0,0,0,0,0.34,,,0.34,,Matches
298,Julius Fynn Rauch,de GER,FW,DÃ¼sseldorf,15,2002,21,15,1241,13.8,3,,,3,0,0,1,0,0.22,,,0.22,,Matches
299,Luca Fynn Reimers,de GER,MF,Holstein Kiel,14,2002,1,0,36,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
300,Tom Gaal,de GER,DF,Gladbach,16,2001,12,12,1080,12,1,,,1,0,0,1,0,0.08,,,0.08,,Matches
