  Rk, Player,Nation,Pos,Squad,Age,Born,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches
400,Lukas Hirsch,de GER,DF,Kaiserslautern,16,2001,6,6,478,5.3,0,,,0,0,0,0,0,0,,,0,,Matches
401,Timo Hirschle,de GER,DF,Heidenheim,16,2001,25,25,2230,24.8,3,,,3,0,0,4,0,0.12,,,0.12,,Matches
402,Gabriel Hirsz,de GER,DF,Werder Bremen,16,2001,8,0,138,1.5,1,,,1,0,0,0,0,0.65,,,0.65,,Matches
403,Faris HodÅ¾iÄ,de GER,FW,Unterrath U17,16,2001,22,21,1642,18.2,3,,,1,2,2,2,0,0.16,,,0.05,,Matches
404,Etienne HÃ¶fer,de GER,MF,Alemannia Aachen,16,2001,23,21,1645,18.3,6,,,5,1,1,1,0,0.33,,,0.27,,Matches
405,Felix Hoffmann,de GER,GK,Magdeburg,15,2001,10,10,900,10,0,,,0,0,0,0,0,0,,,0,,Matches
406,Ian Hoffmann,us USA,FW,Karlsruher,15,2001,25,16,1438,16,3,,,3,0,0,3,0,0.19,,,0.19,,Matches
407,Jannik Hoffmann,de GER,FW,Karlsruher,16,2001,10,7,648,7.2,1,,,1,0,0,0,0,0.14,,,0.14,,Matches
408,Luis Hoffmann,de GER,DF,Magdeburg,14,2002,10,10,900,10,1,,,1,0,0,1,0,0.1,,,0.1,,Matches
409,Robin Hoffschulz,de GER,DF,Hannover 96,16,2001,15,15,1322,14.7,0,,,0,0,0,2,0,0,,,0,,Matches
410,Adrian HÃ¶flich,de GER,"MF,FW",Viktoria KÃ¶ln,16,2001,19,16,1152,12.8,0,,,0,0,0,1,0,0,,,0,,Matches
411,Tim Hohmann,de GER,"MF,FW",Magdeburg,15,2002,20,6,762,8.5,1,,,1,0,0,0,0,0.12,,,0.12,,Matches
412,Julian HÃ¶llen,de GER,DF,Bayern Munich,16,2001,14,13,1097,12.2,1,,,1,0,0,2,0,0.08,,,0.08,,Matches
413,Benedict Hollerbach,de GER,"FW,MF",Bayern Munich,16,2001,25,18,1615,17.9,18,,,18,0,0,1,0,1,,,1,,Matches
414,Noah Holm,no NOR,FW,RB Leipzig,16,2001,24,24,1778,19.8,15,,,15,0,0,7,0,0.76,,,0.76,,Matches
415,Alessandro HÃ¶lscher,de GER,MF,Unterhaching,16,2001,3,0,52,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
416,Lars Holtkamp,de GER,MF,Bochum,15,2001,17,14,1231,13.7,2,,,2,0,0,3,0,0.15,,,0.15,,Matches
417,Benedikt Hoppe,de GER,MF,Unterhaching,16,2001,3,0,55,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
418,Kilian Hornbruch,de GER,MF,Viktoria KÃ¶ln,16,2001,25,24,1990,22.1,1,,,1,0,0,4,0,0.05,,,0.05,,Matches
419,Mathis Horndasch,de GER,DF,Unterhaching,15,2002,1,0,50,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
420,Sebastian Hornung,de GER,GK,Stuttgart,16,2001,25,25,2250,25,0,,,0,0,0,1,0,0,,,0,,Matches
421,Paolo Hortian,de GER,FW,Leverkusen,15,2001,8,2,221,2.5,0,,,0,0,0,0,0,0,,,0,,Matches
422,Lirim Hoxha,xk KVX,FW,Stuttgarter Kickers,15,2002,3,1,117,1.3,0,,,0,0,0,0,0,0,,,0,,Matches
423,Nick Huenig,de GER,FW,Dresden,16,2001,5,0,137,1.5,1,,,1,0,0,0,0,0.66,,,0.66,,Matches
424,David Hummel,de GER,FW,Stuttgart,15,2002,3,0,90,1,1,,,1,0,0,0,0,1,,,1,,Matches
425,Gino Humpert,de GER,"DF,MF",Schalke 04,16,2001,20,11,1143,12.7,0,,,0,0,0,3,0,0,,,0,,Matches
426,Noah HÃ¼r,de GER,MF,Stuttgarter Kickers,16,2001,12,4,482,5.4,1,,,1,0,0,2,1,0.19,,,0.19,,Matches
427,Kevin Husha,de GER,FW,PreuÃen MÃ¼nster,16,2001,22,16,1417,15.7,2,,,2,0,0,2,0,0.13,,,0.13,,Matches
428,Niklas Ian Kessler,de GER,MF,Holstein Kiel,15,2002,1,0,50,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
429,Saibo Ibraimo,de GER,DF,Hamburger SV,16,2001,24,24,2018,22.4,1,,,1,0,0,4,1,0.04,,,0.04,,Matches
430,Luis IdjakoviÄ,de GER,GK,Heidenheim,15,2002,21,21,1840,20.4,0,,,0,0,0,0,0,0,,,0,,Matches
431,Tom Iker,de GER,DF,PreuÃen MÃ¼nster,16,2001,24,23,1970,21.9,0,,,0,0,0,2,0,0,,,0,,Matches
432,Tom Irion,de GER,"DF,MF",Stuttgarter Kickers,16,2001,23,23,2040,22.7,2,,,2,0,0,0,0,0.09,,,0.09,,Matches
433,Felix Irorere,de GER,DF,Eintracht Frankfurt,15,2002,18,13,1210,13.4,1,,,1,0,0,1,0,0.07,,,0.07,,Matches
434,Yannik Ischdonat,de GER,"MF,FW",Mainz 05,16,2001,5,4,305,3.4,1,,,1,0,0,0,0,0.3,,,0.3,,Matches
435,Louis Jacobs,de GER,GK,EimsbÃ¼ttel U17,16,2001,9,8,736,8.2,0,,,0,0,0,0,0,0,,,0,,Matches
436,Justin Jaeger,de GER,MF,Hamburger SV,16,2001,11,4,395,4.4,0,,,0,0,0,0,0,0,,,0,,Matches
437,Frederik JÃ¤kel,de GER,DF,RB Leipzig,16,2001,17,10,1008,11.2,2,,,2,0,0,3,0,0.18,,,0.18,,Matches
438,Luis Jakobi,de GER,MF,Mainz 05,15,2001,16,12,1021,11.3,1,,,1,0,0,1,0,0.09,,,0.09,,Matches
439,Lasse Jan Sortehaug,de GER,MF,St Pauli,16,2001,2,0,72,0.8,1,,,1,0,0,0,0,1.25,,,1.25,,Matches
440,Jonas Janke,de GER,GK,Energie Cottbus,15,2002,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
441,Justin Jansen,de GER,DF,Alemannia Aachen,16,2001,19,14,1271,14.1,0,,,0,0,0,1,0,0,,,0,,Matches
442,Patrick Jardella,it ITA,"FW,MF",Kaiserslautern,16,2001,24,15,1337,14.9,5,,,5,0,0,4,0,0.34,,,0.34,,Matches
443,Adrian Jarosch,de GER,DF,Hannover 96,16,2001,22,22,1980,22,0,,,0,0,0,1,0,0,,,0,,Matches
444,Lenn Jastremski,de GER,FW,Wolfsburg,16,2001,13,11,806,9,7,,,7,0,0,1,0,0.78,,,0.78,,Matches
445,Junho Jeong,de GER,"MF,DF",Dresden,15,2002,20,6,886,9.8,0,,,0,0,0,0,0,0,,,0,,Matches
446,Paul Jesse,de GER,DF,Energie Cottbus,16,2001,23,23,2007,22.3,0,,,0,0,0,6,0,0,,,0,,Matches
447,Ryan Johansson,ie IRL,"MF,DF",Bayern Munich,16,2001,21,14,1331,14.8,1,,,1,0,0,1,0,0.07,,,0.07,,Matches
448,Marco John,de GER,"MF,DF",Hoffenheim,15,2002,21,14,1197,13.3,5,,,5,0,0,2,0,0.38,,,0.38,,Matches
449,Nicolas John,de GER,MF,NÃ¼rnberg,16,2001,2,0,38,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
450,Marcel Johnen,de GER,GK,Alemannia Aachen,14,2002,12,12,1080,12,0,,,0,0,0,0,0,0,,,0,,Matches
451,Finn JÃ¶hren,de GER,MF,Unterhaching,16,2001,22,19,1398,15.5,0,,,0,0,0,1,0,0,,,0,,Matches
452,Tino JukiÄ,hr CRO,MF,Stuttgarter Kickers,15,2001,25,21,1694,18.8,1,,,0,1,1,2,0,0.05,,,0,,Matches
453,Jacopo Julius Corda,de GER,DF,Kaiserslautern,16,2001,7,0,154,1.7,0,,,0,0,0,0,0,0,,,0,,Matches
454,Justin Jung,de GER,MF,Elversberg,16,2001,12,9,747,8.3,0,,,0,0,0,3,0,0,,,0,,Matches
455,Marvin Jung,de GER,DF,Mainz 05,15,2001,15,15,1211,13.5,3,,,3,0,0,3,0,0.22,,,0.22,,Matches
456,Nils JungehÃ¼lsing,de GER,FW,Holstein Kiel,16,2001,19,19,1371,15.2,4,,,4,0,0,0,0,0.26,,,0.26,,Matches
457,Selim Jungmann,de GER,DF,Hoffenheim,16,2001,17,7,790,8.8,0,,,0,0,0,3,0,0,,,0,,Matches
458,Adrian Jusufi,de GER,FW,Werder Bremen,15,2002,1,0,13,0.1,0,,,0,0,0,0,0,0,,,0,,Matches
459,Tomasz Kaciuba,pl POL,DF,Eintracht Frankfurt,16,2001,8,1,213,2.4,1,,,1,0,0,0,0,0.42,,,0.42,,Matches
460,Aram Kahraman,de GER,"MF,DF",Dortmund,15,2001,14,8,813,9,0,,,0,0,0,1,0,0,,,0,,Matches
461,Emre Kahriman,de GER,MF,Karlsruher,16,2001,24,14,1374,15.3,0,,,0,0,0,2,0,0,,,0,,Matches
462,RÃ©douan Kaid,de GER,MF,Werder Bremen,14,2002,1,0,43,0.5,0,,,0,0,0,1,0,0,,,0,,Matches
463,Dominik Kaiser,de GER,FW,Elversberg,16,2001,21,16,1285,14.3,3,,,3,0,0,4,0,0.21,,,0.21,,Matches
464,Mervin Kalac,de GER,FW,Arminia,15,2001,19,19,1545,17.2,11,,,11,0,0,5,0,0.64,,,0.64,,Matches
465,Florian Kallweit,,MF,Magdeburg,,,6,0,78,0.9,0,,,0,0,0,0,0,0,,,0,,Matches
466,Jonas Kammer,de GER,"DF,MF",Union Berlin,15,2001,11,6,641,7.1,0,,,0,0,0,3,0,0,,,0,,Matches
467,Jimmy Kaparos,do DOM,"MF,FW",Schalke 04,15,2001,26,20,1735,19.3,3,,,3,0,0,2,0,0.16,,,0.16,,Matches
468,DoÄukan Kaplan,tr TUR,MF,Stuttgarter Kickers,16,2001,4,0,129,1.4,0,,,0,0,0,0,0,0,,,0,,Matches
469,Vasileios Kapourani,de GER,"FW,MF",Dresden,16,2001,25,25,2143,23.8,3,,,3,0,0,1,0,0.13,,,0.13,,Matches
470,Mahmut Karaca,de GER,"MF,FW",Unterrath U17,16,2001,22,4,858,9.5,2,,,2,0,0,1,0,0.21,,,0.21,,Matches
471,Can KaragÃ¼mrÃ¼klÃ¼,de GER,"MF,DF",Viktoria KÃ¶ln,15,2001,13,7,643,7.1,0,,,0,0,0,1,0,0,,,0,,Matches
472,Engin Karapinar,tr TUR,"DF,MF",MSV Duisburg,16,2001,21,14,1078,12,3,,,3,0,0,1,0,0.25,,,0.25,,Matches
473,Abdul Karim Alisaleha,de GER,DF,Union Berlin,14,2003,4,3,291,3.2,0,,,0,0,0,0,0,0,,,0,,Matches
474,Jeremiah Kasteleiner,de GER,"MF,FW",Karlsruher,16,2001,11,7,590,6.6,0,,,0,0,0,0,0,0,,,0,,Matches
475,Lino Kasten,de GER,GK,Wolfsburg,16,2001,18,18,1595,17.7,0,,,0,0,0,2,0,0,,,0,,Matches
476,Jonathan Katsch,de GER,"DF,MF",Union Berlin,16,2001,18,15,1372,15.2,0,,,0,0,0,5,0,0,,,0,,Matches
477,Enrique Katsianas-Sanchez,de GER,MF,Stuttgart,15,2002,3,0,109,1.2,0,,,0,0,0,0,0,0,,,0,,Matches
478,Noah Katterbach,de GER,MF,KÃ¶ln,16,2001,1,1,76,0.8,0,,,0,0,0,0,0,0,,,0,,Matches
479,Jan-Oliver Katzer,de GER,"DF,MF",PreuÃen MÃ¼nster,16,2001,21,18,1407,15.6,1,,,1,0,0,0,0,0.06,,,0.06,,Matches
480,Jan Kaufmann,de GER,MF,Hannover 96,16,2001,7,2,215,2.4,2,,,1,1,1,2,0,0.84,,,0.42,,Matches
481,Georg Kauk,de GER,DF,Dresden,16,2001,4,1,157,1.7,0,,,0,0,0,0,0,0,,,0,,Matches
482,Kerim Kaya,tr TUR,"FW,MF",Stuttgarter Kickers,15,2001,23,14,1357,15.1,2,,,2,0,0,0,0,0.13,,,0.13,,Matches
483,Muhammed Kayirtar,de GER,"FW,DF",Alemannia Aachen,16,2001,9,2,357,4,1,,,1,0,0,0,0,0.25,,,0.25,,Matches
484,Yannick Kayma,de GER,DF,Schalke 04,16,2001,5,0,158,1.8,1,,,1,0,0,1,0,0.57,,,0.57,,Matches
485,Silas Keck,de GER,DF,Karlsruher,16,2001,24,22,1893,21,0,,,0,0,0,1,0,0,,,0,,Matches
486,Nicolas Keckeisen,de GER,DF,Freiburg,15,2001,11,11,893,9.9,2,,,2,0,0,2,0,0.2,,,0.2,,Matches
487,Jonas Kehl,de GER,DF,Bayern Munich,16,2001,26,26,2259,25.1,1,,,1,0,0,5,0,0.04,,,0.04,,Matches
488,Lars Kehl,de GER,MF,Freiburg,15,2002,24,24,1943,21.6,2,,,2,0,0,3,0,0.09,,,0.09,,Matches
489,Emilio Kehrer,de GER,FW,Freiburg,15,2002,15,6,719,8,1,,,1,0,0,0,0,0.13,,,0.13,,Matches
490,Jeff Keil,de GER,GK,Hertha BSC,16,2001,3,3,270,3,0,,,0,0,0,0,0,0,,,0,,Matches
491,Jonas Keil,de GER,MF,Dresden,15,2002,1,0,50,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
492,Lennart Keil,,FW,BTSV,,,1,0,26,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
493,Nikolai Kemlein,de GER,GK,Union Berlin,15,2002,2,2,180,2,0,,,0,0,0,0,0,0,,,0,,Matches
494,Phil Kemper,de GER,MF,Leverkusen,15,2002,6,1,206,2.3,0,,,0,0,0,0,0,0,,,0,,Matches
495,Noah Kerstein,de GER,"MF,FW",Energie Cottbus,15,2002,20,12,1249,13.9,3,,,3,0,0,2,0,0.22,,,0.22,,Matches
496,Yusuf Keskin,de GER,MF,Schalke 04,15,2002,1,0,11,0.1,0,,,0,0,0,0,0,0,,,0,,Matches
497,Joshua KeÃler,de GER,DF,Hoffenheim,16,2001,10,5,313,3.5,0,,,0,0,0,0,0,0,,,0,,Matches
498,Vincent Ketzer,de GER,FW,Unterhaching,15,2002,2,1,53,0.6,0,,,0,0,0,1,0,0,,,0,,Matches
499,Reda Khadra,de GER,"FW,MF",Dortmund,16,2001,4,0,125,1.4,0,,,0,0,0,0,0,0,,,0,,Matches
500,Amid Khan Agha,de GER,"MF,FW",Hoffenheim,16,2001,26,25,2212,24.6,8,,,8,0,0,2,0,0.33,,,0.33,,Matches
501,Daiyan Khan,de GER,FW,Alemannia Aachen,16,2001,4,0,135,1.5,0,,,0,0,0,0,0,0,,,0,,Matches
502,Arian Khodabakhshian,de GER,DF,Hamburger SV,16,2001,18,12,1256,14,0,,,0,0,0,1,0,0,,,0,,Matches
503,Stefan Kiefer,de GER,GK,Dresden,16,2001,24,24,2104,23.4,0,,,0,0,0,0,1,0,,,0,,Matches
504,Fabian KieÃetz,de GER,DF,Dresden,16,2001,9,8,616,6.8,0,,,0,0,0,0,0,0,,,0,,Matches
505,Justus Kiewald,,MF,Holstein Kiel,,,1,0,40,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
506,Baran KÄ±lÄ±Ã§,de GER,"DF,MF",Alemannia Aachen,15,2002,11,10,880,9.8,0,,,0,0,0,1,0,0,,,0,,Matches
507,Fabio Kinast,de GER,MF,Freiburg,15,2001,19,12,964,10.7,0,,,0,0,0,5,0,0,,,0,,Matches
508,Tom Kinitz,de GER,DF,Wolfsburg,15,2001,26,26,2340,26,2,,,2,0,0,1,0,0.08,,,0.08,,Matches
509,Manuel Kinsky,de GER,GK,Dresden,15,2001,1,0,54,0.6,0,,,0,0,0,0,0,0,,,0,,Matches
510,Alexandros Kiriakidis,de GER,MF,DÃ¼sseldorf,15,2002,1,1,59,0.7,0,,,0,0,0,0,0,0,,,0,,Matches
511,Ahmet KÄ±rlar,tr TUR,DF,Stuttgarter Kickers,16,2001,3,0,79,0.9,0,,,0,0,0,0,0,0,,,0,,Matches
512,Lucas Klantzos,de GER,FW,Dortmund,16,2001,8,5,406,4.5,1,,,1,0,0,0,0,0.22,,,0.22,,Matches
513,Lucas Klantzos,de GER,FW,Arminia,16,2001,6,2,270,3,0,,,0,0,0,0,0,0,,,0,,Matches
514,Jonas KlÃ¤s,de GER,MF,Elversberg,16,2001,17,7,839,9.3,0,,,0,0,0,3,0,0,,,0,,Matches
515,Kevin Klass,de GER,MF,Arminia,16,2001,23,18,1695,18.8,0,,,0,0,0,6,0,0,,,0,,Matches
516,Fynn Kleeberg,de GER,MF,BTSV,16,2001,14,1,474,5.3,2,,,2,0,0,1,0,0.38,,,0.38,,Matches
517,Jannis Kleeberg,de GER,MF,BTSV,15,2002,9,7,630,7,0,,,0,0,0,0,0,0,,,0,,Matches
518,Fynn KleeschÃ¤tzky,de GER,"MF,DF",Wolfsburg,16,2001,14,12,1073,11.9,1,,,1,0,0,2,0,0.08,,,0.08,,Matches
519,Daniel Klein,de GER,GK,Hoffenheim,16,2001,26,26,2340,26,0,,,0,0,0,1,0,0,,,0,,Matches
520,Paul Klein,de GER,"DF,FW",Alemannia Aachen,16,2001,22,22,1946,21.6,0,,,0,0,0,4,0,0,,,0,,Matches
521,Tim Klemm,de GER,GK,Union Berlin,15,2002,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
522,Leon Klocker,de GER,MF,Augsburg,16,2001,2,0,27,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
523,Connor Klossek,de GER,DF,Leverkusen,16,2001,21,21,1681,18.7,1,,,1,0,0,2,0,0.05,,,0.05,,Matches
524,Massimo KlÃ¼ver,de GER,DF,Werder Bremen,15,2001,22,18,1715,19.1,0,,,0,0,0,7,1,0,,,0,,Matches
525,Moritz Knauer,de GER,MF,Unterhaching,16,2001,2,0,89,1,0,,,0,0,0,0,0,0,,,0,,Matches
526,Calvin Knauft,de GER,DF,Union Berlin,16,2001,9,2,385,4.3,0,,,0,0,0,0,0,0,,,0,,Matches
527,Niklas Kneller,de GER,"MF,DF",EimsbÃ¼ttel U17,16,2001,23,23,1969,21.9,0,,,0,0,0,2,1,0,,,0,,Matches
528,Niclas Knoop,de GER,DF,Dortmund,16,2001,22,21,1836,20.4,0,,,0,0,0,3,0,0,,,0,,Matches
529,Nils Knosala,de GER,MF,Elversberg,16,2001,11,5,579,6.4,0,,,0,0,0,2,0,0,,,0,,Matches
530,Nils Knuth,de GER,DF,Holstein Kiel,15,2002,1,1,90,1,0,,,0,0,0,1,0,0,,,0,,Matches
531,Mattis Koch,de GER,"MF,DF",Union Berlin,16,2001,22,21,1824,20.3,1,,,1,0,0,3,0,0.05,,,0.05,,Matches
532,Tristan Koch,de GER,GK,Holstein Kiel,15,2001,18,17,1580,17.6,0,,,0,0,0,0,0,0,,,0,,Matches
533,Frederik Koernig,,MF,Karlsruher,,,2,1,76,0.8,0,,,0,0,0,0,0,0,,,0,,Matches
534,Stylianos Kokovas,gr GRE,"DF,MF",Bochum,16,2001,19,16,1500,16.7,2,,,2,0,0,3,1,0.12,,,0.12,,Matches
535,Baris KÃ¶ktÃ¼rk,de GER,"MF,FW",MSV Duisburg,16,2001,17,13,1081,12,8,,,6,2,2,4,0,0.67,,,0.5,,Matches
536,OndÅej KolaÅÃ­k,,FW,Dresden,16,2001,5,1,166,1.8,1,,,1,0,0,0,0,0.54,,,0.54,,Matches
537,Simon Kolb,de GER,DF,Unterhaching,16,2001,21,20,1695,18.8,2,,,2,0,0,3,0,0.11,,,0.11,,Matches
538,Robin KÃ¶lle,de GER,DF,Wolfsburg,16,2001,24,24,2076,23.1,0,,,0,0,0,2,0,0,,,0,,Matches
539,Simon Kolloch,,MF,Unterrath U17,,,2,0,29,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
540,Nikola KomljenoviÄ,rs SRB,MF,Eintracht Frankfurt,15,2002,4,1,169,1.9,0,,,0,0,0,1,0,0,,,0,,Matches
541,Janos KÃ¶mmerling,de GER,MF,DÃ¼sseldorf,15,2001,17,11,795,8.8,1,,,1,0,0,1,0,0.11,,,0.11,,Matches
542,Ransford KÃ¶nigsdÃ¶rffer,gh GHA,MF,Hertha BSC,15,2001,1,1,27,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
543,Alexander Kopf,de GER,DF,Stuttgart,16,2001,25,25,2198,24.4,0,,,0,0,0,4,0,0,,,0,,Matches
544,Philip Koppitz,de GER,FW,Hannover 96,15,2001,14,6,773,8.6,5,,,5,0,0,3,0,0.58,,,0.58,,Matches
545,Yasir KÃ¶se,tr TUR,DF,Heidenheim,15,2002,7,2,191,2.1,0,,,0,0,0,1,1,0,,,0,,Matches
546,Larion Kosuchin,de GER,FW,Eintracht Frankfurt,15,2002,2,0,34,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
547,Adrien Koudelka,de GER,DF,Augsburg,15,2002,23,23,2041,22.7,0,,,0,0,0,3,1,0,,,0,,Matches
548,Nico Kowalwicz,de GER,"FW,DF",Alemannia Aachen,16,2001,6,4,388,4.3,0,,,0,0,0,1,0,0,,,0,,Matches
549,Daniel Kraft,de GER,DF,Augsburg,15,2002,3,2,206,2.3,0,,,0,0,0,1,0,0,,,0,,Matches
550,Niklas Kraft,de GER,DF,Heidenheim,16,2001,2,0,35,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
551,Atmir Krasniqi,de GER,DF,Stuttgart,15,2002,24,19,1762,19.6,2,,,2,0,0,3,0,0.1,,,0.1,,Matches
552,Tom KrauÃ,de GER,MF,RB Leipzig,16,2001,25,25,2168,24.1,3,,,3,0,0,5,0,0.12,,,0.12,,Matches
553,Dennis KremiÄ,de GER,"MF,DF",Elversberg,16,2001,18,14,1039,11.5,0,,,0,0,0,1,1,0,,,0,,Matches
554,Sven Kronemayer,de GER,FW,Karlsruher,15,2002,5,3,355,3.9,2,,,2,0,0,0,0,0.51,,,0.51,,Matches
555,Mika Kroschel,de GER,"DF,MF",BTSV,16,2001,21,19,1588,17.6,1,,,1,0,0,3,0,0.06,,,0.06,,Matches
556,Paul KrÃ¼ger,de GER,DF,Hertha BSC,16,2001,23,22,1943,21.6,4,,,4,0,0,5,2,0.19,,,0.19,,Matches
557,Thomas Kuballa,de GER,GK,Hannover 96,15,2001,23,23,2051,22.8,0,,,0,0,0,0,0,0,,,0,,Matches
558,Niclas Kubitz,de GER,MF,Dresden,16,2001,24,23,1908,21.2,2,,,2,0,0,1,0,0.09,,,0.09,,Matches
559,Emre KÃ¼cÃ¼k,de GER,"DF,MF",DÃ¼sseldorf,16,2001,22,12,1171,13,1,,,1,0,0,1,0,0.08,,,0.08,,Matches
560,Julian Kudala,de GER,MF,Augsburg,15,2002,16,14,1266,14.1,3,,,3,0,0,1,0,0.21,,,0.21,,Matches
561,William Kuhnigk,de GER,DF,Union Berlin,16,2001,17,14,1104,12.3,0,,,0,0,0,0,0,0,,,0,,Matches
562,Luan KukiÄ,de GER,"FW,MF",Augsburg,16,2001,10,8,461,5.1,0,,,0,0,0,0,0,0,,,0,,Matches
563,Tom Kunert,de GER,MF,NÃ¼rnberg,15,2002,1,1,40,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
564,Phil-Louis Kunze,de GER,FW,BTSV,16,2001,5,0,112,1.2,0,,,0,0,0,0,0,0,,,0,,Matches
565,Kevin KÃ¼nzer,de GER,MF,Hertha BSC,15,2001,9,1,260,2.9,2,,,1,1,1,0,0,0.69,,,0.35,,Matches
566,Marvin Kura,de GER,MF,MSV Duisburg,15,2002,3,0,127,1.4,0,,,0,0,0,0,0,0,,,0,,Matches
567,Kaan Kurt,de GER,MF,Gladbach,15,2001,21,18,1551,17.2,2,,,2,0,0,1,0,0.12,,,0.12,,Matches
568,Kahan Kuscu,de GER,FW,Eintracht Frankfurt,16,2001,22,11,1103,12.3,9,,,9,0,0,1,1,0.73,,,0.73,,Matches
569,Daniel Kyerewaa,de GER,MF,DÃ¼sseldorf,16,2001,18,12,1002,11.1,2,,,2,0,0,3,0,0.18,,,0.18,,Matches
570,Linus Kyre,de GER,FW,Freiburg,14,2002,1,0,35,0.4,0,,,0,0,0,0,0,0,,,0,,Matches
571,Jonas Labonte,de GER,GK,St Pauli,15,2001,7,7,630,7,0,,,0,0,0,0,0,0,,,0,,Matches
572,Kai Lachowitz,de GER,"MF,FW",Elversberg,16,2001,17,3,518,5.8,0,,,0,0,0,1,0,0,,,0,,Matches
573,Marc Lamti,tn TUN,MF,Leverkusen,16,2001,22,20,1701,18.9,3,,,3,0,0,3,0,0.16,,,0.16,,Matches
574,Benedikt Landwehr,de GER,"MF,DF",Hoffenheim,16,2001,26,25,2126,23.6,10,,,10,0,0,2,0,0.42,,,0.42,,Matches
575,Felix Lang,de GER,DF,Arminia,14,2002,1,0,34,0.4,0,,,0,0,0,1,0,0,,,0,,Matches
576,Nils Lange,de GER,DF,Magdeburg,16,2001,19,16,1249,13.9,1,,,1,0,0,3,0,0.07,,,0.07,,Matches
577,Amin LatifoviÄ,de GER,"MF,FW",Stuttgarter Kickers,15,2001,18,18,1449,16.1,3,,,3,0,0,0,0,0.19,,,0.19,,Matches
578,Philipp Lauer,de GER,MF,Elversberg,15,2002,1,0,27,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
579,LukÃ¡Å¡ Lazar,de GER,"FW,MF",Kaiserslautern,16,2001,10,4,420,4.7,1,,,1,0,0,1,0,0.21,,,0.21,,Matches
580,Maximilian Lebedev,de GER,DF,Bayern Munich,16,2001,8,5,467,5.2,0,,,0,0,0,0,0,0,,,0,,Matches
581,Dennis Lechner,de GER,FW,Augsburg,15,2001,4,0,104,1.2,0,,,0,0,0,0,0,0,,,0,,Matches
582,Maximilian Lechner,de GER,FW,Augsburg,15,2001,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
583,Toni Lecke,de GER,FW,Dresden,16,2001,25,24,1915,21.3,2,,,2,0,0,0,0,0.09,,,0.09,,Matches
584,Shinhyung Lee,de GER,MF,Kaiserslautern,16,2001,3,2,140,1.6,0,,,0,0,0,0,0,0,,,0,,Matches
585,Noah Leferink,de GER,"MF,DF",Alemannia Aachen,16,2001,22,18,1515,16.8,0,,,0,0,0,5,1,0,,,0,,Matches
586,Tim Lemperle,de GER,"MF,FW",KÃ¶ln,15,2002,9,6,632,7,3,,,3,0,0,0,0,0.43,,,0.43,,Matches
587,Yannic Lenze,de GER,GK,Schalke 04,16,2001,16,16,1440,16,0,,,0,0,0,0,0,0,,,0,,Matches
588,John Liebelt,de GER,DF,Union Berlin,15,2002,2,0,62,0.7,0,,,0,0,0,1,0,0,,,0,,Matches
589,Justin Lind,de GER,DF,Elversberg,16,2001,22,21,1829,20.3,0,,,0,0,0,4,0,0,,,0,,Matches
590,Thomas Linkov,de GER,"DF,MF",Werder Bremen,16,2001,23,20,1756,19.5,1,,,1,0,0,0,0,0.05,,,0.05,,Matches
591,Haris Ljatifi,de GER,MF,Bochum,16,2001,16,8,700,7.8,0,,,0,0,0,1,0,0,,,0,,Matches
592,Denis Ljuca,de GER,"DF,MF",Mainz 05,16,2001,19,19,1591,17.7,3,,,3,0,0,9,0,0.17,,,0.17,,Matches
593,Per Lockl,de GER,"MF,FW",Stuttgart,16,2001,25,25,2073,23,8,,,6,2,2,5,1,0.35,,,0.26,,Matches
594,Iven LÃ¶ffler,de GER,DF,Energie Cottbus,15,2001,19,19,1618,18,0,,,0,0,0,6,1,0,,,0,,Matches
595,Can-Luca Lohmann,de GER,GK,Holstein Kiel,15,2002,2,2,180,2,0,,,0,0,0,0,0,0,,,0,,Matches
596,Paul LÃ¶hr,de GER,GK,Karlsruher,16,2001,19,18,1625,18.1,0,,,0,0,0,0,0,0,,,0,,Matches
