Player,Nation_std,Pos_std,Squad_std,Born_std,Playing Time_MP_std,Playing Time_Starts,Playing Time_Min_std,Playing Time_90s_std,Performance_Gls,Performance_G-PK,Performance_PK,Performance_PKatt,Per 90 Minutes_Gls,Per 90 Minutes_G-PK,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_match,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Amadeus Ebel,de GER,MF,SV Babelsberg 03,2007,5,3,330,3.7,0,0,0,0,0.00,0.00,66,30.6,3.7,3,90,3,2,30,0,1.00,9,9,0,0.00,+0.48
Julian Eble,de GER,FW,Heidenheim,2009,1,0,10,0.1,0,0,0,0,0.00,0.00,10,0.5,0.1,0,,0,1,10,0,3.00,0,1,-1,-9.00,-9.38
GIl Ebner,de GER,MF,Nürnberg,2006,20,19,1665,18.5,1,1,0,0,0.05,0.05,83,71.2,18.5,19,86,16,1,23,0,1.45,36,35,+1,+0.05,-2.35
Emmanuel Eboh,de GER,DF,St Pauli,2008,3,3,270,3.0,0,0,0,0,0.00,0.00,90,11.5,3.0,3,90,3,0,,0,0.67,8,10,-2,-0.67,-0.62
Jason Eckl,de GER,FW,Bayern Munich,2007,12,5,466,5.2,1,1,0,0,0.19,0.19,39,21.6,5.2,5,61,1,7,23,0,2.67,17,8,+9,+1.74,+0.14
Jason Eckl,de GER,FW,Bayern Munich,2007,12,5,466,5.2,1,1,0,0,0.19,0.19,72,33.4,8.0,10,72,2,0,,0,0.90,7,13,-6,-0.75,-1.25
Jason Eckl,de GER,FW,Unterhaching,2007,10,10,722,8.0,4,4,0,0,0.50,0.50,39,21.6,5.2,5,61,1,7,23,0,2.67,17,8,+9,+1.74,+0.14
Jason Eckl,de GER,FW,Unterhaching,2007,10,10,722,8.0,4,4,0,0,0.50,0.50,72,33.4,8.0,10,72,2,0,,0,0.90,7,13,-6,-0.75,-1.25
Tanyel Eckstein,de GER,DF,Schott Mainz,2007,22,20,1660,18.4,1,1,0,0,0.05,0.05,75,65.9,18.4,20,82,13,2,13,0,1.27,28,45,-17,-0.92,+1.17
Linroy Edimo,de GER,DF,Jahn Regensburg,2007,17,11,1008,11.2,0,0,0,0,0.00,0.00,59,43.1,11.2,11,77,7,6,27,3,0.41,18,33,-15,-1.34,+0.15
Ricky Edun,de GER,DF,Alemannia Aachen,2006,19,13,1307,14.5,0,0,0,0,0.00,0.00,69,51.9,14.5,13,87,11,6,28,2,1.21,24,22,+2,+0.14,+0.88
Brian Efevberha,de GER,DF,Carl Zeiss Jena,2007,14,6,645,7.2,0,0,0,0,0.00,0.00,46,27.6,7.2,6,75,4,8,24,1,1.71,15,9,+6,+0.84,+0.41
Victor Efiamarho,de GER,FW,Kickers Offenbach,2008,3,2,178,2.0,0,0,0,0,0.00,0.00,59,7.1,2.0,2,67,0,1,45,0,1.00,3,4,-1,-0.51,+0.84
