Player,Nation_std,Pos_std,Squad_std,Born_std,Playing Time_MP_std,Playing Time_Starts,Playing Time_Min_std,Playing Time_90s_std,Performance_Gls,Performance_G-PK,Performance_PK,Performance_PKatt,Per 90 Minutes_Gls,Per 90 Minutes_G-PK,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_match,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Manuel Abbey,de GER,FW,RB Leipzig,2009,1,0,5,0.1,0,0,0,0,0.00,0.00,5,0.5,0.1,0,,0,1,5,0,3.00,1,0,+1,+18.00,+15.15
Jakin Abdaoui,de GER,DF,BTSV,2008,3,0,21,0.2,0,0,0,0,0.00,0.00,7,1.9,0.2,0,,0,3,7,4,2.00,1,2,-1,-4.29,-3.44
Yasin Abdul-Hamid,de GER,MF,Berliner AK,2007,12,12,1023,11.4,6,6,0,0,0.53,0.53,85,81.2,11.4,12,85,8,0,,0,1.75,19,21,-2,-0.18,+0.20
Lirjon Abdullahu,xk KVX,FW,Stuttgarter Kickers,2008,3,3,225,2.5,1,1,0,0,0.40,0.40,75,20.8,2.5,3,75,2,0,,0,0.33,3,6,-3,-1.20,+0.69
Niklas Abert,de GER,DF,Köln,2008,1,0,27,0.3,0,0,0,0,0.00,0.00,27,2.5,0.3,0,,0,1,27,0,3.00,2,0,+2,+6.67,+5.13
Natnael Abraha,de GER,DF,Hoffenheim,2008,11,9,688,7.6,2,2,0,0,0.26,0.26,63,63.7,7.6,9,68,4,2,37,0,2.36,30,8,+22,+2.88,+1.96
Devine Abrifor,de GER,FW,Viktoria Köln,2008,2,1,105,1.2,0,0,0,0,0.00,0.00,53,9.7,1.2,1,80,0,1,25,0,0.50,1,1,0,0.00,-0.55
Samet Acar,de GER,DF,Kaiserslautern,2008,6,2,221,2.5,0,0,0,0,0.00,0.00,37,20.5,2.5,2,90,2,4,10,1,2.50,8,1,+7,+2.85,+2.85
Andrija Aćimović,rs SRB,DF,Wehen Wiesbaden,2009,1,0,7,0.1,0,0,0,0,0.00,0.00,7,0.6,0.1,0,,0,1,7,0,3.00,0,0,0,0.00,0.00
Jeremy Ade,de GER,DF,Hamburger SV,2007,6,1,195,2.2,0,0,0,0,0.00,0.00,33,18.1,2.2,1,90,1,5,21,1,3.00,6,2,+4,+1.85,-0.19
Noah Adekunle,de GER,DF,Hamburger SV,2007,9,9,789,8.8,1,1,0,0,0.11,0.11,88,73.1,8.8,9,88,8,0,,0,3.00,28,8,+20,+2.28,+1.04
Olufemi Adesiyan,de GER,MF,Union Berlin,2008,13,13,1122,12.5,1,1,0,0,0.08,0.08,86,89.0,12.5,13,86,10,0,,0,2.69,33,9,+24,+1.93,-2.64
Oluwajimi Adetokunbo-Adelenu,de GER,DF,Hertha BSC,2008,13,13,1060,11.8,1,1,0,0,0.08,0.08,82,84.1,11.8,13,82,9,0,,0,1.62,29,25,+4,+0.34,-1.01
Joel Adilji,de GER,FW,Unterhaching,2007,2,1,90,1.0,0,0,0,0,0.00,0.00,45,8.3,1.0,1,45,0,1,45,0,0.50,2,3,-1,-1.00,0.00
Miguel Adje,de GER,MF,Dortmund,2008,9,7,546,6.1,0,0,0,0,0.00,0.00,61,50.6,6.1,7,71,3,2,25,0,2.56,17,5,+12,+1.98,+0.29
Milo Adleff,de GER,MF,Augsburg,2008,9,8,662,7.4,0,0,0,0,0.00,0.00,74,61.3,7.4,8,82,5,1,9,0,1.33,12,13,-1,-0.14,-2.93
Bismark Adomah,fr FRA,FW,Freiburg,2007,7,7,451,5.0,1,1,0,0,0.20,0.20,64,41.8,5.0,7,64,0,0,,0,1.86,8,8,0,0.00,-0.57
Max Adrian,de GER,DF,Magdeburg,2007,13,10,842,9.4,4,4,0,0,0.43,0.43,65,66.8,9.4,10,80,4,3,15,0,0.85,22,23,-1,-0.11,+1.18
Chris Afanou,de GER,FW,Bayern Munich,2008,8,1,187,2.1,1,1,0,0,0.48,0.48,23,17.3,2.1,1,66,0,7,17,0,1.63,6,1,+5,+2.41,+1.40
Samir Affo,de GER,MF,Düsseldorf,2008,9,3,318,3.5,0,0,0,0,0.00,0.00,35,29.4,3.5,3,80,0,6,13,1,1.89,5,2,+3,+0.85,+0.85
Bellal Afghanyar,de GER,MF,Arminia,2007,11,9,738,8.2,1,1,0,0,0.12,0.12,67,58.6,8.2,9,76,5,2,26,2,0.55,9,21,-12,-1.46,-0.77
Gentil Afolabi,de GER,FW,Paderborn 07,2008,7,2,179,2.0,2,2,0,0,1.01,1.01,26,14.2,2.0,2,58,0,5,13,1,2.00,4,6,-2,-1.01,-2.50
Maik Afri Akumu,de GER,FW,Köln,2008,6,4,301,3.3,1,1,0,0,0.30,0.30,50,27.9,3.3,4,61,0,2,29,0,2.50,7,1,+6,+1.79,+0.18
Neal Afriyie,de GER,FW,Werder Bremen,2009,9,5,474,5.3,0,0,0,0,0.00,0.00,53,43.9,5.3,5,70,1,4,31,0,0.89,9,12,-3,-0.57,+0.62
Stancy Aganmwonyi,de GER,DF,Magdeburg,2008,13,11,958,10.6,1,1,0,0,0.09,0.09,74,76.0,10.6,11,84,9,2,17,1,0.92,22,30,-8,-0.75,-1.05
Sevhat Agbaba,de GER,FW,Viktoria Berlin,2007,10,7,573,6.4,1,1,0,0,0.16,0.16,57,53.1,6.4,7,76,4,3,13,0,1.50,16,15,+1,+0.16,+3.88
Caleb Ageyemang,de GER,FW,Blumenthaler,2008,10,7,516,5.7,1,1,0,0,0.17,0.17,52,47.8,5.7,7,64,0,3,23,0,0.60,13,21,-8,-1.40,+1.80
Cihan Agirayak,de GER,MF,Paderborn 07,2007,13,11,825,9.2,0,0,0,0,0.00,0.00,63,65.5,9.2,11,72,2,2,15,1,1.85,21,11,+10,+1.09,-0.15
Daris Agović,de GER,GK,Mainz 05,2008,7,7,630,7.0,0,0,0,0,0.00,0.00,90,58.3,7.0,7,90,7,0,,5,2.14,18,10,+8,+1.14,-0.66
Prince Agyemang,de GER,FW,Bochum,2007,9,3,246,2.7,1,1,0,0,0.37,0.37,27,22.8,2.7,3,50,0,6,16,0,2.33,5,3,+2,+0.73,-1.10
Emirhan Agzikara,,DF,Stuttgart,2007,5,1,130,1.4,0,0,0,0,0.00,0.00,26,12.0,1.4,1,89,0,4,10,0,2.20,5,2,+3,+2.08,-0.29
Kevin Ahlberg,de GER,FW,Hannover 96,2008,12,7,641,7.1,5,4,1,1,0.70,0.56,53,59.4,7.1,7,79,3,5,18,0,2.17,20,9,+11,+1.54,+0.11
Shayan Ahmadi,de GER,DF,Eintracht Frankfurt,2008,4,0,63,0.7,0,0,0,0,0.00,0.00,16,5.8,0.7,0,,0,4,16,2,2.25,1,2,-1,-1.43,-1.69
Valon Ahmedi,de GER,MF,Preußen Münster,2007,9,3,331,3.7,1,1,0,0,0.27,0.27,37,26.3,3.7,3,87,2,6,12,3,1.67,10,7,+3,+0.82,+0.62
Yannis Ahouannou,de GER,DF,Eintracht Frankfurt,2008,8,8,675,7.5,0,0,0,0,0.00,0.00,84,62.5,7.5,8,84,7,0,,1,1.88,22,12,+10,+1.33,+3.11
Jonas Ahrens,de GER,MF,Holstein Kiel,2008,7,0,105,1.2,0,0,0,0,0.00,0.00,15,9.7,1.2,0,,0,7,15,1,2.00,3,2,+1,+0.86,+0.40
Can Akbas,de GER,FW,Osnabrück,2007,13,11,966,10.7,1,1,0,0,0.09,0.09,74,76.7,10.7,11,83,4,2,28,1,0.31,8,32,-24,-2.24,-1.32
Batu Akgöz,de GER,MF,Sandhausen,2008,11,9,708,7.9,4,4,0,0,0.51,0.51,64,65.6,7.9,9,75,4,2,17,0,1.09,11,16,-5,-0.64,+2.75
Mahmud Akgün,de GER,DF,Nürnberg,2007,6,4,306,3.4,0,0,0,0,0.00,0.00,51,28.3,3.4,4,73,1,2,7,6,1.67,3,5,-2,-0.59,-2.22
Mohamed Akhouji,de GER,DF,FSV Frankfurt,2007,9,9,739,8.2,1,1,0,0,0.12,0.12,82,68.4,8.2,9,82,5,0,,0,0.78,13,21,-8,-0.97,+1.14
Theophilus Akoto,de GER,FW,Wehen Wiesbaden,2007,5,2,236,2.6,4,4,0,0,1.53,1.53,47,21.9,2.6,2,81,1,3,25,0,2.00,9,6,+3,+1.14,+1.46
Arda Aksac,de GER,MF,BTSV,2007,8,4,347,3.9,0,0,0,0,0.00,0.00,43,32.1,3.9,4,60,0,4,27,0,0.13,6,16,-10,-2.59,-2.47
Liam Akyıldız,de GER,FW,Hamburger SV,2008,8,6,462,5.1,1,1,0,0,0.19,0.19,58,42.8,5.1,6,75,2,2,8,1,2.75,17,7,+10,+1.95,-0.09
Ali Alan,de GER,FW,Ulm,2009,1,0,23,0.3,0,0,0,0,0.00,0.00,23,2.1,0.3,0,,0,1,23,0,1.00,0,1,-1,-3.91,-4.76
