Player,Nation_std,Pos_std,Squad_std,Born_std,Playing Time_MP_std,Playing Time_Starts,Playing Time_Min_std,Playing Time_90s_std,Performance_Gls,Performance_G-PK,Performance_PK,Performance_PKatt,Per 90 Minutes_Gls,Per 90 Minutes_G-PK,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_match,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Jason Amann,de GER,MF,Mainz 05,2005,21,21,1783,19.8,2,0,2,2,0.10,0.00,85,76.2,19.8,21,85,16,0,,0,1.81,36,30,+6,+0.30,+0.14
Gedeon Ambrosio,de GER,FW,Ingolstadt,2006,2,0,11,0.1,0,0,0,0,0.00,0.00,6,0.5,0.1,0,,0,2,6,2,3.00,0,0,0,0.00,-0.97
Amer Ammar,de GER,DF,Dresden,2007,1,0,15,0.2,0,0,0,0,0.00,0.00,15,0.6,0.2,0,,0,1,15,0,1.00,0,1,-1,-6.00,-5.81
Kofi Amoako,de GER,MF,Wolfsburg,2005,21,21,1787,19.9,0,0,0,0,0.00,0.00,85,76.4,19.9,21,85,15,0,,0,2.19,62,17,+45,+2.27,-1.48
Zaid Amoussou-Tchibara,de GER,FW,Schalke 04,2006,20,16,1149,12.8,6,6,0,0,0.47,0.47,57,49.1,12.8,16,65,3,4,26,0,1.70,16,16,0,0.00,-1.13
Arian Amyn,de GER,MF,Viktoria Köln,2006,13,1,282,3.1,1,1,0,0,0.32,0.32,22,12.1,3.1,1,45,0,12,20,2,0.85,8,6,+2,+0.64,+0.55
Spyridon Angelidis,gr GRE,GK,Werder Bremen,2005,15,15,1349,15.0,0,0,0,0,0.00,0.00,90,57.6,15.0,15,90,14,0,,0,1.53,28,30,-2,-0.13,+1.50
Zakaria Anhari,de GER,MF,MSV Duisburg,2006,13,2,281,3.1,0,0,0,0,0.00,0.00,22,12.0,3.1,2,68,0,11,13,4,1.46,5,6,-1,-0.32,-0.45
Eric Anozie,de GER,MF,Osnabrück,2005,19,16,1443,16.0,2,2,0,0,0.12,0.12,76,61.7,16.0,16,84,11,3,33,0,0.63,21,35,-14,-0.87,-0.27
Takang Anubodem,de GER,DF,Bochum,2006,25,16,1389,15.4,0,0,0,0,0.00,0.00,56,59.4,15.4,16,78,6,9,15,1,1.16,29,29,0,0.00,+1.04
Ronay Arabaci,de GER,MF,Düsseldorf,2005,26,23,1852,20.6,8,8,0,1,0.39,0.39,71,79.1,20.6,23,75,6,3,39,0,1.15,37,37,0,0.00,+0.37
Houssam Arbei,de GER,MF,Karlsruher,2006,22,9,907,10.1,0,0,0,0,0.00,0.00,41,38.8,10.1,9,74,3,13,19,0,1.91,16,14,+2,+0.20,-0.68
Jay Archard,de GER,MF,St Pauli,2006,15,8,840,9.3,0,0,0,0,0.00,0.00,56,35.9,9.3,8,86,7,7,22,2,1.60,12,25,-13,-1.39,-1.75
Ahmet Ardıç,de GER,MF,Wuppertal U19,2005,14,12,884,9.8,1,1,0,0,0.10,0.10,63,37.8,9.8,12,71,3,2,17,0,0.64,11,26,-15,-1.53,+0.64
David Arize,de GER,MF,Gladbach,2005,20,5,670,7.4,7,6,1,1,0.94,0.81,34,28.6,7.4,5,83,4,15,17,2,1.86,24,7,+17,+2.28,+0.94
Marc Arndt,de GER,DF,Hansa Rostock,2006,3,2,200,2.2,0,0,0,0,0.00,0.00,67,8.5,2.2,2,90,2,1,20,4,1.00,4,5,-1,-0.45,+0.64
Dustin Arnold,de GER,DF,Dresden,2005,21,19,1599,17.8,0,0,0,0,0.00,0.00,76,68.3,17.8,19,83,13,2,11,1,1.52,26,30,-4,-0.23,+0.02
Dennis Arnst,de GER,FW,Hoffenheim,2005,12,5,609,6.8,0,0,0,0,0.00,0.00,51,26.0,6.8,5,90,5,7,23,6,2.75,25,8,+17,+2.51,+0.33
Berkin Arslanogullari,de GER,GK,Union Berlin,2005,5,5,450,5.0,0,0,0,0,0.00,0.00,90,19.2,5.0,5,90,5,0,,18,3.00,13,4,+9,+1.80,+1.37
Levis Asanji,de GER,FW,Union Berlin,2006,26,25,2233,24.8,10,8,2,2,0.40,0.32,86,95.4,24.8,25,88,20,1,36,0,1.88,54,34,+20,+0.81,+2.49
Daniel Aserov,de GER,FW,Gladbach,2006,1,0,16,0.2,0,0,0,0,0.00,0.00,16,0.7,0.2,0,,0,1,16,2,0.00,0,0,0,0.00,-1.63
Berkay Aslan,tr TUR,MF,Augsburg,2007,2,0,48,0.5,1,1,0,0,1.87,1.87,24,2.1,0.5,0,,0,2,24,1,0.00,1,1,0,0.00,+1.65
Elijas Aslanidis,de GER,MF,Wolfsburg,2006,19,11,1009,11.2,8,8,0,0,0.71,0.71,53,43.1,11.2,11,76,1,8,21,0,2.37,43,7,+36,+3.21,+1.05
Jonathan Asp Jensen,dk DEN,MF,Bayern Munich,2006,12,12,901,10.0,1,1,0,0,0.10,0.10,75,38.5,10.0,12,75,5,0,,0,1.50,24,19,+5,+0.50,+0.62
Edvard Avagyan,de GER,FW,Stuttgart,1996,11,7,548,6.1,4,4,0,0,0.66,0.66,50,23.4,6.1,7,65,0,4,23,4,1.55,13,8,+5,+0.82,-0.43
Din Avdić,ba BIH,FW,1860 Munich,2006,3,0,25,0.3,0,0,0,0,0.00,0.00,8,1.1,0.3,0,,0,3,8,3,1.00,1,1,0,0.00,+0.08
Erion Avdij,xk KVX,GK,1860 Munich,2005,12,12,1080,12.0,0,0,0,0,0.00,0.00,90,46.2,12.0,12,90,12,0,,0,1.42,20,21,-1,-0.08,-0.01
Mehmet Avlayici,de GER,MF,Heidenheim,2006,25,21,1911,21.2,0,0,0,0,0.00,0.00,76,81.7,21.2,21,88,17,4,17,1,1.00,38,39,-1,-0.05,+1.84
Angelos Avramis,de GER,DF,Alemannia Aachen,2005,7,1,155,1.7,1,1,0,0,0.58,0.58,22,6.6,1.7,1,61,0,6,16,0,1.43,5,5,0,0.00,+0.91
Andrew Awusi,de GER,FW,Eintracht Frankfurt,2006,13,9,782,8.7,2,2,0,0,0.23,0.23,60,33.4,8.7,9,74,3,4,28,0,1.62,20,15,+5,+0.58,+0.29
Elyas Aydın,de GER,MF,Viktoria Köln,2006,18,12,1158,12.9,0,0,0,0,0.00,0.00,64,49.5,12.9,12,83,9,6,28,5,1.61,26,16,+10,+0.78,+1.23
Mertcan Ayhan,tr TUR,DF,Schalke 04,2006,8,7,637,7.1,1,1,0,0,0.14,0.14,80,27.2,7.1,7,90,7,1,7,0,2.38,13,5,+8,+1.13,+0.76
Dennis Azakir,de GER,DF,Mainz 05,2005,21,18,1637,18.2,0,0,0,0,0.00,0.00,78,70.0,18.2,18,88,15,3,16,0,1.62,31,26,+5,+0.27,+0.02
Luis Pereira de Azambuja,de GER,MF,1860 Munich,2006,3,0,79,0.9,1,1,0,0,1.14,1.14,26,3.4,0.9,0,,0,3,26,4,1.00,3,2,+1,+1.14,+1.26
Alexandre Azevedo,de GER,FW,Stuttgart,2005,26,24,2182,24.2,3,3,0,0,0.12,0.12,84,93.2,24.2,24,88,20,2,30,0,1.85,55,31,+24,+0.99,-2.43
Adam Aznou,ma MAR,DF,Bayern Munich,2006,15,13,1123,12.5,2,2,0,0,0.16,0.16,75,48.0,12.5,13,81,8,2,34,0,1.67,32,26,+6,+0.48,+0.70
Fedir Babak,ua UKR,MF,Paderborn 07,2006,19,19,1629,18.1,0,0,0,0,0.00,0.00,86,69.6,18.1,19,86,14,0,,3,1.89,38,25,+13,+0.72,+0.47
Louis Babatz,de GER,GK,Mainz 05,2006,20,20,1800,20.0,0,0,0,0,0.00,0.00,90,76.9,20.0,20,90,20,0,,1,1.90,36,28,+8,+0.40,+0.57
Reber Babir,de GER,FW,Verl,2005,5,0,104,1.2,0,0,0,0,0.00,0.00,21,4.4,1.2,0,,0,5,21,2,0.00,0,1,-1,-0.87,+1.27
Max Bachner,de GER,FW,Augsburg,2005,6,2,206,2.3,0,0,0,0,0.00,0.00,34,8.8,2.3,2,60,0,4,22,0,0.50,4,8,-4,-1.75,-0.14
Ole Backfisch,de GER,MF,BTSV,2006,22,18,1520,16.9,2,2,0,0,0.12,0.12,69,65.0,16.9,18,79,11,4,25,0,0.91,24,39,-15,-0.89,-0.34
Ols Backhaus,de GER,DF,St Pauli,2006,20,15,1377,15.3,1,1,0,0,0.07,0.07,69,58.8,15.3,15,82,8,5,30,0,1.40,27,25,+2,+0.13,+0.97
Ismail Badje,de GER,FW,Osnabrück,2005,25,24,2001,22.2,11,11,0,0,0.49,0.49,80,85.5,22.2,24,83,17,1,15,0,0.68,31,48,-17,-0.76,+0.03
Cem Bağcı,de GER,GK,Carl Zeiss Jena,2006,7,7,630,7.0,0,0,0,0,0.00,0.00,90,26.9,7.0,7,90,7,0,,4,0.71,9,14,-5,-0.71,+0.02
Ayoub Bagdadi,de GER,FW,Kaiserslautern,2005,17,11,966,10.7,1,1,0,0,0.09,0.09,57,41.3,10.7,11,74,4,6,26,0,0.53,8,28,-20,-1.86,-0.75
Alassane Bah,de GER,MF,Carl Zeiss Jena,1999,18,12,1162,12.9,0,0,0,0,0.00,0.00,65,49.7,12.9,12,82,7,6,31,3,0.78,20,33,-13,-1.01,-0.55
Ismail Bah,de GER,DF,Bochum,2005,7,5,480,5.3,1,1,0,0,0.19,0.19,69,20.5,5.3,5,87,4,2,23,3,1.29,8,12,-4,-0.75,-0.41
Thierno Bah,de GER,DF,Hertha BSC,2006,6,2,253,2.8,0,0,0,0,0.00,0.00,42,10.8,2.8,2,90,2,4,18,6,2.67,8,3,+5,+1.78,+0.44
Tim Baierlein,de GER,MF,Greuther Fürth,2005,26,20,1599,17.8,12,12,0,0,0.68,0.68,62,68.3,17.8,20,71,3,6,31,0,1.00,21,35,-14,-0.79,+0.18
Kerem Bakir,,DF,Nürnberg,2006,12,2,277,3.1,0,0,0,0,0.00,0.00,23,11.8,3.1,2,73,1,10,13,10,1.17,3,9,-6,-1.95,-1.82
Fabio Baldé,pt POR,MF,Hamburger SV,2005,7,7,576,6.4,2,1,1,1,0.31,0.16,82,24.6,6.4,7,82,5,0,,0,1.86,15,10,+5,+0.78,+1.34
Saido Baldé,pt POR,FW,Hamburger SV,2008,19,15,1304,14.5,1,1,0,0,0.07,0.07,69,55.7,14.5,15,79,9,4,30,0,1.37,20,30,-10,-0.69,-1.04
Ante Banden,at AUT,MF,1860 Munich,2006,1,0,10,0.1,0,0,0,0,0.00,0.00,10,0.4,0.1,0,,0,1,10,0,3.00,0,0,0,0.00,+0.08
Noahkai Banks,us USA,DF,Augsburg,2006,16,16,1385,15.4,0,0,0,0,0.00,0.00,87,59.2,15.4,16,87,14,0,,0,0.88,19,39,-20,-1.30,+0.77
Isma Baraze,de GER,FW,St Pauli,2005,26,24,2133,23.7,10,7,3,3,0.42,0.30,82,91.2,23.7,24,85,15,2,45,0,1.31,36,42,-6,-0.25,+0.18
Jordan Barbalinardo,lu LUX,DF,Mainz 05,2006,3,2,139,1.5,0,0,0,0,0.00,0.00,46,5.9,1.5,2,68,1,1,4,8,1.67,2,2,0,0.00,-0.29
Jasha Barry,de GER,FW,Eintracht Frankfurt,2007,1,0,31,0.3,0,0,0,0,0.00,0.00,31,1.3,0.3,0,,0,1,31,0,3.00,1,0,+1,+2.90,+2.55
Tom Barth,de GER,MF,Stuttgart,2005,26,25,2147,23.9,5,2,3,3,0.21,0.08,83,91.8,23.9,25,85,18,1,30,0,1.85,61,28,+33,+1.38,+2.78
Niklas Barthel,de GER,DF,Schalke 04,2005,20,19,1694,18.8,2,2,0,0,0.11,0.11,85,72.4,18.8,19,88,17,1,23,0,2.00,33,19,+14,+0.74,+0.60
Jannis Bärtl,de GER,GK,Karlsruher,2006,18,18,1620,18.0,0,0,0,0,0.00,0.00,90,69.2,18.0,18,90,18,0,,6,1.83,34,25,+9,+0.50,-0.38
Mert Baser,de GER,MF,Kaiserslautern,2006,16,10,897,10.0,0,0,0,0,0.00,0.00,56,38.3,10.0,10,73,3,6,28,5,0.81,9,20,-11,-1.10,+0.52
Luca Battista,de GER,MF,Stuttgart,2005,7,1,132,1.5,1,1,0,0,0.68,0.68,19,5.6,1.5,1,61,0,6,12,5,2.29,2,0,+2,+1.36,+0.22
Muhammed Batuhan Zor,de GER,MF,Kaiserslautern,2005,23,22,1856,20.6,7,6,1,1,0.34,0.29,81,79.3,20.6,22,83,11,1,25,1,0.87,22,45,-23,-1.12,+1.49
Richard Bauer,de GER,DF,Hansa Rostock,2005,18,17,1418,15.8,1,1,0,0,0.06,0.06,79,60.6,15.8,17,82,14,1,20,0,0.83,21,43,-22,-1.40,-0.91
Anton Bäuerle,de GER,MF,Leverkusen,2005,26,26,2314,25.7,3,3,0,0,0.12,0.12,89,98.9,25.7,26,89,23,0,,0,1.85,55,28,+27,+1.05,+4.51
Lennart Baum,de GER,MF,Werder Bremen,2006,22,16,1363,15.1,3,3,0,0,0.20,0.20,62,58.2,15.1,16,75,5,6,27,4,1.41,27,33,-6,-0.40,+0.89
Luan Bausenhart,de GER,DF,Heidenheim,2005,20,7,767,8.5,0,0,0,0,0.00,0.00,38,32.8,8.5,7,71,1,13,21,2,1.05,13,20,-7,-0.82,-0.65
Aaron Bayakala,de GER,FW,Köln,2005,14,5,558,6.2,0,0,0,0,0.00,0.00,40,23.8,6.2,5,64,0,9,27,0,1.21,7,9,-2,-0.32,-0.37
Aris Bayindir,de GER,MF,RB Leipzig,2006,22,17,1545,17.2,6,6,0,0,0.35,0.35,70,66.0,17.2,17,82,10,5,30,0,1.73,35,30,+5,+0.29,-0.39
Mikail Baytar,de GER,DF,Arminia,2005,4,2,150,1.7,0,0,0,0,0.00,0.00,38,6.4,1.7,2,45,0,2,30,10,0.75,2,7,-5,-3.00,-2.30
Lennard Becker,de GER,DF,Bayern Munich,2005,17,14,1200,13.3,1,1,0,0,0.07,0.07,71,51.3,13.3,14,82,8,3,18,0,1.76,35,20,+15,+1.13,+2.07
Marlon Becker,de GER,MF,Köln,2005,21,9,904,10.0,2,2,0,0,0.20,0.20,43,38.6,10.0,9,69,1,12,24,1,1.38,14,19,-5,-0.50,-0.75
Vitalie Becker,de GER,DF,Schalke 04,2005,22,22,1917,21.3,2,2,0,0,0.09,0.09,87,81.9,21.3,22,87,18,0,,0,1.73,36,24,+12,+0.56,-0.07
Jonathan Beckert,de GER,MF,Werder Bremen,2005,15,9,803,8.9,1,1,0,0,0.11,0.11,54,34.3,8.9,9,70,2,6,29,1,1.40,17,17,0,0.00,+1.17
Lucas Beetz,de GER,DF,Nürnberg,2005,19,19,1710,19.0,0,0,0,0,0.00,0.00,90,73.1,19.0,19,90,19,0,,0,0.79,30,46,-16,-0.84,-1.84
Juri Behr,de GER,GK,St Pauli,2006,8,8,720,8.0,0,0,0,0,0.00,0.00,90,30.8,8.0,8,90,8,0,,10,1.25,13,16,-3,-0.37,-0.15
Niklas Behr,de GER,DF,Karlsruher,2007,10,6,559,6.2,1,1,0,0,0.16,0.16,56,23.9,6.2,6,76,1,4,26,0,2.10,14,9,+5,+0.81,+0.25
Hannes Behrens,de GER,DF,Hoffenheim,2005,25,25,2245,24.9,0,0,0,0,0.00,0.00,90,95.9,24.9,25,90,24,0,,0,2.61,83,25,+58,+2.33,+1.38
Eser Bekdemir,de GER,FW,Hertha BSC,2006,15,2,248,2.8,2,2,0,0,0.73,0.73,17,10.6,2.8,2,66,0,13,9,5,2.73,10,2,+8,+2.90,+1.70
Paul Bellmann,de GER,MF,Werder Bremen,2005,14,14,1240,13.8,1,1,0,0,0.07,0.07,89,53.0,13.8,14,89,11,0,,0,0.86,14,39,-25,-1.81,-2.22
Karim Bellomo,de GER,FW,Hertha BSC,2006,17,8,904,10.0,4,4,0,0,0.40,0.40,53,38.6,10.0,8,85,4,9,25,1,1.95,22,16,+6,+0.60,-1.28
Louey Ben Farhat,tn TUN,MF,Karlsruher,2006,25,23,1999,22.2,6,5,1,1,0.27,0.23,80,85.4,22.2,23,84,13,2,33,0,1.80,50,31,+19,+0.86,+1.65
Trevor Benedict,de GER,FW,Wolfsburg,2007,9,3,268,3.0,1,1,0,0,0.34,0.34,30,11.5,3.0,3,61,0,6,14,1,1.89,12,5,+7,+2.35,-0.30
Elias Benkara,dz ALG,DF,Dortmund,2007,11,5,553,6.1,0,0,0,0,0.00,0.00,50,23.6,6.1,5,78,3,6,28,1,2.50,20,5,+15,+2.44,+0.28
Mohamed Benslaiman,lu LUX,MF,Mainz 05,2007,1,0,5,0.1,0,0,0,0,0.00,0.00,5,0.2,0.1,0,,0,1,5,0,3.00,0,0,0,0.00,-0.27
Leo Bera,de GER,DF,Hansa Rostock,2005,24,24,2073,23.0,1,1,0,0,0.04,0.04,86,88.6,23.0,24,86,15,0,,0,1.00,35,59,-24,-1.04,-0.03
Baran Berk,de GER,MF,Ingolstadt,2006,15,10,860,9.6,2,2,0,0,0.21,0.21,57,36.8,9.6,10,75,2,5,22,8,2.27,23,4,+19,+1.99,+1.62
Melvin Berkemer,de GER,FW,Wolfsburg,2005,3,0,31,0.3,0,0,0,0,0.00,0.00,10,1.3,0.3,0,,0,3,10,3,3.00,3,0,+3,+8.71,+6.18
Divine Berko,de GER,FW,Gladbach,2006,12,11,898,10.0,0,0,0,0,0.00,0.00,75,38.4,10.0,11,80,7,1,21,1,1.92,30,14,+16,+1.60,-0.02
Janne Berner,de GER,DF,Heidenheim,2005,26,26,2294,25.5,9,3,6,6,0.35,0.12,88,98.0,25.5,26,88,23,0,,0,0.96,41,52,-11,-0.43,-2.39
Luca Bernsdorf,de GER,DF,Bochum,2005,26,24,2215,24.6,1,1,0,0,0.04,0.04,85,94.7,24.6,24,88,20,2,48,0,1.12,43,52,-9,-0.37,+1.07
Mohammed Berrahou,de GER,FW,MSV Duisburg,2007,3,3,202,2.2,0,0,0,0,0.00,0.00,67,8.6,2.2,3,67,0,0,,0,2.00,5,3,+2,+0.89,+0.89
Kilian Bielitza,de GER,DF,Wuppertal U19,2005,23,23,1972,21.9,0,0,0,0,0.00,0.00,86,84.3,21.9,23,86,18,0,,0,0.70,21,56,-35,-1.60,+2.07
Lovis Bierschenk,de GER,FW,Mainz 05,2005,5,3,297,3.3,3,3,0,0,0.91,0.91,59,12.7,3.3,3,83,1,2,24,0,2.00,6,5,+1,+0.30,+0.04
Felix Binder,de GER,MF,Sandhausen,2005,24,21,1858,20.6,7,7,0,0,0.34,0.34,77,79.4,20.6,21,84,14,3,31,0,0.71,27,50,-23,-1.11,-0.18
Len Blackmann,de GER,MF,Bochum,2006,6,1,77,0.9,0,0,0,0,0.00,0.00,13,3.3,0.9,1,45,0,5,6,6,2.67,3,1,+2,+2.34,+2.85
Alessandro Blažić,si SVN,GK,Köln,2006,17,17,1530,17.0,0,0,0,0,0.00,0.00,90,65.4,17.0,17,90,17,0,,1,1.41,25,24,+1,+0.06,+0.28
Franz Bleicher,de GER,DF,Augsburg,2007,1,1,29,0.3,0,0,0,0,0.00,0.00,29,1.2,0.3,1,29,0,0,,0,0.00,0,2,-2,-6.21,-4.65
Stefan Bloch,de GER,DF,Gladbach,2005,6,4,383,4.3,1,1,0,0,0.23,0.23,64,16.4,4.3,4,88,3,2,16,7,2.50,14,3,+11,+2.58,+1.16
Divine Boafo,de GER,FW,Bochum,2005,21,18,1493,16.6,3,3,0,0,0.18,0.18,71,63.8,16.6,18,77,6,3,34,0,0.90,30,33,-3,-0.18,+0.67
Benjamin Boakye,de GER,MF,Stuttgart,2005,21,19,1580,17.6,7,6,1,1,0.40,0.34,75,67.5,17.6,19,80,8,2,33,1,1.81,35,22,+13,+0.74,-1.27
Derek Boakye-Osei,es ESP,DF,Eintracht Frankfurt,2006,15,7,691,7.7,3,3,0,0,0.39,0.39,46,29.5,7.7,7,79,3,8,17,1,1.80,15,17,-2,-0.26,-0.92
Maksym Bochan,ua UKR,MF,Kaiserslautern,2006,25,24,2067,23.0,0,0,0,0,0.00,0.00,83,88.3,23.0,24,85,16,1,26,0,0.80,24,46,-22,-0.96,+3.99
