Player,Nation_std,Pos_std,Squad_std,Born_std,Playing Time_MP_std,Playing Time_Starts,Playing Time_Min_std,Playing Time_90s_std,Performance_Gls,Performance_G-PK,Performance_PK,Performance_PKatt,Per 90 Minutes_Gls,Per 90 Minutes_G-PK,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_match,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Aland Abdi,sy SYR,MF,Alemannia Aachen,2005,23,23,1838,20.4,2,2,0,0,0.10,0.10,80,78.5,20.4,23,80,15,0,,0,1.48,34,46,-12,-0.59,+1.21
Farid Abdvis Zadeh,de GER,MF,Arminia,2005,9,4,348,3.9,0,0,0,0,0.00,0.00,39,14.9,3.9,4,67,0,5,16,1,0.89,1,7,-6,-1.55,-0.83
Thierry Abessouguie,de GER,FW,Viktoria Köln,2007,4,1,110,1.2,0,0,0,0,0.00,0.00,28,4.7,1.2,1,45,0,3,22,0,2.25,1,1,0,0.00,-0.16
Ryan Acar,de GER,DF,Osnabrück,2006,26,26,2183,24.3,1,1,0,0,0.04,0.04,84,93.3,24.3,26,84,18,0,,0,0.77,35,56,-21,-0.87,-1.44
Christopher Ackermann,de GER,DF,Union Berlin,2005,23,18,1679,18.7,3,3,0,0,0.16,0.16,73,71.8,18.7,18,83,13,5,36,1,1.87,35,26,+9,+0.48,-0.74
Nico Adamczyk,pl POL,DF,Dortmund,2006,16,8,942,10.5,0,0,0,0,0.00,0.00,59,40.3,10.5,8,75,5,8,42,6,2.50,31,10,+21,+2.01,-0.38
Fotios Adamidis,de GER,GK,MSV Duisburg,2006,16,15,1351,15.0,0,0,0,0,0.00,0.00,84,57.7,15.0,15,90,15,1,1,7,1.25,24,23,+1,+0.07,-0.02
Wesley Adeh,de GER,MF,Werder Bremen,2007,13,13,1112,12.4,3,3,0,0,0.24,0.24,86,47.5,12.4,13,86,11,0,,0,1.54,23,26,-3,-0.24,+1.00
Faton Ademi,xk KVX,FW,Alemannia Aachen,2006,25,21,1713,19.0,4,4,0,0,0.21,0.21,69,73.2,19.0,21,76,8,4,27,0,1.48,21,35,-14,-0.74,+0.41
Raphael Adiele,de GER,MF,Greuther Fürth,2005,23,22,1934,21.5,2,2,0,0,0.09,0.09,84,82.6,21.5,22,87,20,1,10,0,1.00,24,42,-18,-0.84,+0.05
Alihan Adigüzel,de GER,MF,Greuther Fürth,2005,3,0,39,0.4,0,0,0,0,0.00,0.00,13,1.7,0.4,0,,0,3,13,3,2.00,0,1,-1,-2.31,-1.49
Julian Adjege,de GER,FW,St Pauli,2006,7,4,233,2.6,0,0,0,0,0.00,0.00,33,10.0,2.6,4,49,0,3,13,4,1.71,3,9,-6,-2.32,-2.27
Karim Affo,de GER,FW,Düsseldorf,2006,14,12,1035,11.5,3,3,0,0,0.26,0.26,74,44.2,11.5,12,80,5,2,37,0,1.43,20,24,-4,-0.35,-0.49
Lennox Afolabi,de GER,DF,Arminia,2006,25,24,2118,23.5,1,1,0,0,0.04,0.04,85,90.5,23.5,24,87,16,1,31,1,1.08,24,46,-22,-0.93,-0.93
Hugo Afonso,lu LUX,MF,Karlsruher,2005,15,12,957,10.6,2,2,0,0,0.19,0.19,64,40.9,10.6,12,75,6,3,17,1,1.40,19,25,-6,-0.56,-2.00
Jesse Agbozo,de GER,DF,Sandhausen,2005,16,5,543,6.0,0,0,0,0,0.00,0.00,34,23.2,6.0,5,60,0,11,22,3,0.81,8,20,-12,-1.99,-1.19
Massimo Agostinelli,lu LUX,DF,Nürnberg,2005,25,20,1905,21.2,0,0,0,0,0.00,0.00,76,81.4,21.2,20,86,16,5,37,0,1.16,39,46,-7,-0.33,+0.08
Joel Agyekum,de GER,DF,Hamburger SV,2005,22,21,1862,20.7,0,0,0,0,0.00,0.00,85,79.6,20.7,21,88,18,1,17,1,1.36,34,43,-9,-0.44,-1.00
Prince Agyemang,de GER,FW,Alemannia Aachen,2007,1,0,31,0.3,0,0,0,0,0.00,0.00,31,1.3,0.3,0,,0,1,31,0,1.00,1,0,+1,+2.90,+3.80
Louis Ahenkora,de GER,FW,Hannover 96,2006,13,2,350,3.9,1,1,0,0,0.26,0.26,27,15.0,3.9,2,77,1,11,18,3,1.46,7,9,-2,-0.51,-1.19
Jonathan Akaegbobi,de GER,FW,Wolfsburg,2006,26,24,1938,21.5,12,12,0,1,0.56,0.56,75,82.8,21.5,24,79,6,2,25,0,2.15,64,18,+46,+2.14,-2.79
Quassim El Akrouche,de GER,MF,Wuppertal U19,2006,8,4,319,3.5,0,0,0,0,0.00,0.00,40,13.6,3.5,4,64,1,4,16,5,0.38,2,17,-15,-4.23,-2.67
Arda Aksac,de GER,MF,BTSV,2007,1,1,58,0.6,0,0,0,0,0.00,0.00,58,2.5,0.6,1,58,0,0,,0,3.00,2,2,0,0.00,+0.79
Aziz Alagi,de GER,DF,Sandhausen,2006,23,20,1740,19.3,1,1,0,0,0.05,0.05,76,74.4,19.3,20,81,9,3,39,0,0.65,25,44,-19,-0.98,+0.37
Kerim Alajbegović,ba BIH,FW,Leverkusen,2007,3,2,180,2.0,2,2,0,0,1.00,1.00,60,7.7,2.0,2,77,0,1,26,0,2.33,8,0,+8,+4.00,+3.25
Anas Alaoui,ma MAR,FW,Eintracht Frankfurt,2006,17,15,1321,14.7,5,4,1,1,0.34,0.27,78,56.5,14.7,15,80,5,2,59,1,1.88,38,26,+12,+0.82,+0.99
Christopher Alberts,de GER,DF,Werder Bremen,2005,14,10,765,8.5,0,0,0,0,0.00,0.00,55,32.7,8.5,10,68,3,4,23,5,0.93,10,26,-16,-1.88,-1.65
Liul Alemu,de GER,MF,Bayern Munich,2005,6,3,296,3.3,1,1,0,0,0.30,0.30,49,12.6,3.3,3,66,0,3,32,2,1.50,7,4,+3,+0.91,+0.91
Hassan Ali,de GER,MF,Viktoria Köln,2005,23,21,1790,19.9,0,0,0,0,0.00,0.00,78,76.5,19.9,21,83,14,2,25,0,1.35,34,35,-1,-0.05,-0.87
Antonino Aliberto,xk KVX,DF,Karlsruher,1997,20,18,1509,16.8,0,0,0,0,0.00,0.00,75,64.5,16.8,18,80,7,2,33,2,1.65,38,24,+14,+0.83,+0.62
Valon Aliji,mk MKD,MF,Union Berlin,2005,18,15,1225,13.6,1,1,0,0,0.07,0.07,68,52.4,13.6,15,72,3,3,46,1,1.78,28,19,+9,+0.66,-0.07
Witalij Alimov,de GER,FW,St Pauli,2006,11,7,642,7.1,0,0,0,0,0.00,0.00,58,27.4,7.1,7,86,6,4,11,2,0.91,8,14,-6,-0.84,-0.79
Florent Aliqki,de GER,FW,Heidenheim,2006,15,2,378,4.2,1,1,0,0,0.24,0.24,25,16.2,4.2,2,60,0,13,20,2,0.93,12,8,+4,+0.95,+1.59
Musa Alkan,de GER,MF,Union Berlin,2007,5,1,168,1.9,0,0,0,0,0.00,0.00,34,7.2,1.9,1,74,0,4,24,4,2.40,1,3,-2,-1.07,-1.90
Fırat Alpsoy,de GER,FW,Karlsruher,2005,17,13,1137,12.6,10,6,4,4,0.79,0.47,67,48.6,12.6,13,80,4,4,25,0,1.59,33,24,+9,+0.71,+0.19
Felix Alschner,de GER,MF,Dresden,2007,3,1,146,1.6,1,1,0,0,0.62,0.62,49,6.2,1.6,1,73,0,2,37,1,0.67,1,2,-1,-0.62,-0.41
Samuel Althaus,ch SUI,MF,1860 Munich,2006,12,1,224,2.5,1,1,0,0,0.40,0.40,19,9.6,2.5,1,88,0,11,12,4,1.54,4,5,-1,-0.40,-0.36
