Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PK_Save%
Julien Korn,deGER,GK,SV Babelsberg 03,18.0,2006,2,2,180,2.4,7,3.5,,,,0.0,1.0,1.0,0,0.0,0,0,0,0,
Benjamin Köstel,deGER,GK,Stuttgarter Kickers,17.0,2007,3,3,270,3.0,8,2.67,,,,0.0,1.0,2.0,0,0.0,2,2,0,0,0.0
Theo Kretschmer,deGER,GK,Erzgebirge Aue,17.0,2007,11,10,909,10.1,18,1.78,,,,4.0,3.0,3.0,2,20.0,2,2,0,0,0.0
Kai Krygiel,deGER,GK,TuS Königsdorf,17.0,2006,1,0,28,0.3,1,3.21,,,,0.0,0.0,0.0,0,,1,1,0,0,0.0
Lars Kühne,deGER,GK,Wehen Wiesbaden,17.0,2007,6,6,540,6.0,14,2.33,,,,0.0,1.0,5.0,0,0.0,0,0,0,0,
Timo Kurzka,deGER,GK,Jahn Regensburg,16.0,2007,2,2,180,2.0,11,5.5,,,,0.0,0.0,2.0,0,0.0,0,0,0,0,
Benjamin Lade,deGER,GK,Hoffenheim,18.0,2006,19,19,1665,18.5,44,2.38,,,,9.0,3.0,7.0,4,21.1,1,1,0,0,0.0
Tom Lange,deGER,GK,Hannover 96,16.0,2007,1,0,17,0.2,0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Adam Laszczynski,deGER,GK,Energie Cottbus,17.0,2007,7,7,630,7.0,5,0.71,,,,4.0,2.0,1.0,3,42.9,1,1,0,0,0.0
Lennox Lebelt,deGER,GK,Viktoria Berlin,17.0,2007,8,8,720,8.0,12,1.5,,,,4.0,1.0,3.0,4,50.0,1,1,0,0,0.0
Julian Leuchter,deGER,GK,Leverkusen,16.0,2008,1,1,90,1.0,1,1.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Frederik Lightfoot,atAUT,GK,TuS Königsdorf,17.0,2007,3,3,270,3.0,6,2.0,,,,1.0,0.0,2.0,0,0.0,0,0,0,0,
Robin Lisewski,plPOL,GK,Dortmund,18.0,2006,22,22,1953,21.7,21,0.97,,,,16.0,2.0,4.0,10,45.5,5,5,0,0,0.0
Noah Loos,deGER,GK,Sandhausen,17.0,2007,1,0,31,0.3,1,2.9,,,,0.0,0.0,0.0,0,,0,0,0,0,
Paul Lorenz,deGER,GK,Elversberg,17.0,2007,3,3,270,3.1,4,1.33,,,,1.0,1.0,1.0,0,0.0,0,0,0,0,
Nils Lox,deGER,GK,Viktoria Berlin,17.0,2006,4,4,360,4.0,12,3.0,,,,1.0,0.0,3.0,0,0.0,2,2,0,0,0.0
Finn Ludwig,deGER,GK,Wehen Wiesbaden,18.0,2006,22,22,1980,22.0,47,2.14,,,,9.0,4.0,9.0,5,22.7,6,6,0,0,0.0
Noah Luis Ahlers,deGER,GK,Holstein Kiel,17.0,2007,1,1,90,1.0,2,2.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Felix Mark,deGER,GK,Heidenheim,16.0,2008,16,16,1440,16.0,25,1.56,,,,8.0,2.0,6.0,3,18.8,3,3,0,0,0.0
Nikolaj Marutzki,deGER,GK,Köln,17.0,2007,6,6,540,6.0,9,1.5,,,,2.0,1.0,3.0,2,33.3,1,1,0,0,0.0
Jihan Masseling,deGER,GK,MSV Duisburg,16.0,2008,1,1,90,1.0,1,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Erik Maurer,deGER,GK,Hansa Rostock,18.0,2006,18,18,1620,19.0,44,2.44,,,,8.0,2.0,8.0,1,5.6,8,8,0,0,0.0
