Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PK_Save%
Jona Weiß,deGER,GK,Kickers Offenbach,18.0,2006,2,2,135,1.5,6,4.0,,,,0.0,0.0,2.0,0,0.0,0,0,0,0,
Felix Wessels,deGER,GK,Osnabrück,17.0,2007,1,1,90,1.0,2,2.0,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,
Malte Wilke,deGER,GK,Energie Cottbus,17.0,2007,3,3,270,3.0,5,1.67,,,,0.0,2.0,1.0,0,0.0,0,0,0,0,
Cedric Wimmer,deGER,GK,Chemnitzer,17.0,2007,8,8,720,8.0,21,2.62,,,,2.0,2.0,4.0,0,0.0,0,0,0,0,
Tom Wisbereit,deGER,GK,Union Berlin,16.0,2007,14,14,1195,13.3,33,2.49,,,,6.0,1.0,7.0,0,0.0,3,3,0,0,0.0
Melvin Witte,deGER,GK,St Pauli,15.0,2008,2,2,180,2.0,4,2.0,,,,0.0,1.0,1.0,0,0.0,1,1,0,0,0.0
Frederik Wolff,deGER,GK,Alemannia Aachen,17.0,2006,2,2,180,2.0,5,2.5,,,,0.0,2.0,0.0,0,0.0,1,1,0,0,0.0
David Wyciok,deGER,GK,Viktoria Köln,16.0,2007,10,10,900,10.0,17,1.7,,,,7.0,0.0,3.0,1,10.0,0,0,0,0,
Artem Zaloha,uaUKR,GK,Arminia,17.0,2007,14,14,1258,14.0,18,1.29,,,,7.0,2.0,5.0,4,28.6,1,1,0,0,0.0
Paul Zielke,deGER,GK,Ulm,17.0,2007,15,14,1260,16.0,35,2.5,,,,4.0,2.0,8.0,0,0.0,1,1,0,0,0.0
David Zimmer,deGER,GK,Sandhausen,17.0,2006,13,13,1170,13.0,19,1.46,,,,6.0,3.0,4.0,4,30.8,2,2,0,0,0.0
Emil Zorn,deGER,GK,Schweinfurt,18.0,2006,8,8,720,8.0,23,2.87,,,,1.0,1.0,6.0,0,0.0,1,1,0,0,0.0
